ID,SMILES,MIC_raw,MIC_unit
1,CCCNC1=NN=C(S1)CC2=CNC3=CC=CC=C32,6.25,µg/ml
2,C12=CC=CC=C1C(CC3=NN=C(NC4=CC=CC=C4)S3)=CN2,25,µg/ml
3,ClC1=CC(Cl)=CC=C1NC2=NN=C(S2)CC3=CNC4=CC=CC=C43,25,µg/ml
4,FC1=CC(F)=CC=C1NC2=NN=C(S2)CC3=CNC4=CC=CC=C43,50,µg/ml
5,FC1=CC=CC(NC2=NN=C(S2)CC3=CNC4=CC=CC=C43)=C1,25,µg/ml
6,NC1=NN=C(S1)CC2=CNC3=CC=CC=C32,3.125,µg/ml
7,OC(N1C(C)=NC=C1[N+]([O-])=O)CN(C2=C3C=CC(C(F)(F)F)=C2)C=C(C(O)=O)C3=O,1,µg/ml
8,COC1=CC2=C(C=C1)NC(C2=N3)=C(NC4=CC=C(O)C=C4)C5=C3C=CC=C5,2,µg/ml
9,OC(C=C1)=CC=C1NC2=C(NC3=C4C=CC=C3)C4=NC5=C2C=CC=C5,2,µg/ml
10,O=C(C1=C/2C(C=CC=C3)=C3N1)NCCC2=N/OCC4=CC=C(Br)C=C4,2,µg/ml
11,BrC(C=C1)=CC=C1CO/N=C\C2=CNC3=C2C=CC=C3,2,µg/ml
12,O=C1C(C(O)=O)=CN(C2CC2F)C3=C1C(N)=C(F)C(N4CC(C(C5)(N)C5CC6)C6C4)=C3F,0.006,µg/ml
13,ClC1=CC=C(NC(C2=CNC3=C2C=C(Br)C=C3)C4C5OCC4)C5=C1,0.31,µg/ml
14,IC1=CC=C(NC(C2=CNC3=C2C=C(Br)C=C3)C4C5OCC4)C5=C1,0.39,µg/ml
15,O=C1NC2=C(F)C=CC=C2/C1=N/NC(NC3=CC=CC=C3)=S,1.56,µg/ml
16,CC1COC2=C(N1C=C(C(O)=O)C3=O)C3=CC(F)=C2N4CCC(O)CC4,1,µg/ml
17,CC1COC2=C(N1C=C(C(O)=O)C3=O)C3=CC(F)=C2N4CC(O)CC4,1,µg/ml
18,OC(C1=CC=CC=C1N2)=C(I)C2=O,0.39,µg/ml
19,CC1=C(/C(C)=N/NC(N)=N)SC(C2=CC=C(CCCC)C=C2)=N1,1.4,µg/ml
20,CC1=C(/C(C)=N/NC(N)=N)SC(C2=CC=C(C3CCCCC3)C=C2)=N1,1.4,µg/ml
21,CC1=C(/C(C)=N/NC(N)=N)SC(C2=CC=C(C3=CC=CC=C3)C=C2)=N1,1.2,µg/ml
22,C/C(C1=CNC2=C1C=CC=C2)=N\OCC3=CC(Cl)=C(Cl)C=C3,1,µg/ml
23,CC1=C(/C(C)=N/NC(N)=N)SC(C2=CC3=C(C=CC=C3)C=C2)=N1,0.5,µg/ml
24,COC1=C(OCC2=CC=C(C(C)C)C=C2)C=C3C(N=CC=C3CC4=CC=C(F)C(Cl)=C4)=C1,1.5,µg/ml
25,O=C1C(C(O)=O)=CN(C2CC2)C3=C(OC)C(N4CC(C)N(/C(C)=N/NC5=CC=CC=C5)CC4)=C(F)C=C31,0.125,µg/ml
26,CC1=NC2=CC=C(OCC3=CC=C(Cl)C=C3)C=C2C=C1/C=C4SC(N(C(C(CC)C)C(O)=O)C\4=O)=O,1,µg/ml
27,O=C1C(C(O)=O)=CNC2=CC(N3CC(C)N(CC4=NN=C(C5=CC=C(OC)C=C5)O4)CC3)=C(F)C=C21,2,µg/ml
28,O=C(C1=CC(C(F)(F)F)=NN1)C2=C(O)C=CC(Cl)=C2,0.5,µg/ml
29,O=C(NC1=CC=C(C)C=C1)C2=C(/N=C\C3=CC=CC=C3)NN=C2NC4=CC=C(OC)C=C4,1.68,µg/ml
30,FC1=CC(N2C(OC(CNC(C)=O)C2)=O)=CC=C1N3C=CC(C4=CC=CC=N4)=N3,1,µg/ml
31,FC1=CC(N2C(OC(CNC(C)=O)C2)=O)=CC=C1N3C=CC(C4=CC=C(C(N)=O)C=N4)=N3,1,µg/ml
32,FC1=CC(N2C(OC(CNC(C)=O)C2)=O)=CC=C1N3C=CC(C4=CC=C(C(OC)=O)C=N4)=N3,1,µg/ml
33,O=C(N)C(C=C1)=CC=C1N2C(C3=C(C=CC=C4)C4=CC5=C3C=CC=C5)=CC(C(F)(F)F)=N2,4,µg/ml
